departamento,codigo_municipio,municipio,grupo,variable,año,menores a 1 año,de 1 a 4 años,de 5 a 14 años,de 15 a 59 años,de 60 y más años,total
CHUQUISACA,10101,SUCRE,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10102,YOTALA,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10103,POROMA,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10201,AZURDUY,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10202,TARVITA,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10301,ZUDAÑEZ,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10302,PRESTO,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10303,MOJOCOYA,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10304,ICLA,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10401,PADILLA,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10402,TOMINA,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10403,SOPACHUY,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10404,ALCALA,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10405,EL VILLAR,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10501,MONTEAGUDO,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10502,HUACARETA,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10601,TARABUCO,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10602,YAMPARAEZ,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10701,CAMARGO,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10702,SAN LUCAS,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10703,INCAHUASI,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10704,VILLA CHARCAS,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10801,VILLA SERRANO,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA),sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10902,CULPINA,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,10903,LAS CARRERAS,sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA),sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA),sospecha diagnostica,tosferina,2001,,,,,,
CHUQUISACA,11003,MACHARETI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20101,LA PAZ,sospecha diagnostica,tosferina,2001,35.0,14.0,2.0,1.0,0.0,52.0
LA PAZ,20102,PALCA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20103,MECAPACA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20104,ACHOCALLA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20105,EL ALTO,sospecha diagnostica,tosferina,2001,0.0,0.0,1.0,0.0,0.0,1.0
LA PAZ,20201,ACHACACHI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20202,ANCORAIMES,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20203,CHUA COCANI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20204,HUARINA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20205,SANTIAGO DE HUATA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20206,HUATAJATA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20301,CORO CORO,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20302,CAQUIAVIRI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20303,CALACOTO,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20304,COMANCHE,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20305,CHARAÑA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20306,WALDO BALLIVIAN,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20307,NAZACARA DE PACAJES,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20308,SANTIAGO DE CALLAPA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20401,PUERTO ACOSTA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20402,MOCOMOCO,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20403,PUERTO CARABUCO,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20404,HUMANATA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20405,ESCOMA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20501,CHUMA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20502,AYATA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20503,AUCAPATA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20601,SORATA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20602,GUANAY,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20603,TACACOMA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20604,QUIABAYA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20605,COMBAYA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20606,TIPUANI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20607,MAPIRI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20608,TEOPONTE,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20701,APOLO,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20702,PELECHUCO,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20801,VIACHA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20802,GUAQUI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20803,TIAWANACU,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20804,DESAGUADERO,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20805,SAN ANDRES DE MACHACA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20806,JESUS DE MACHACA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20807,TARACO,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20901,LURIBAY,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20902,SAPAHAQUI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20903,YACO,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20904,MALLA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,20905,CAIROMA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21001,INQUISIVI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21002,QUIME,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21003,CAJUATA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21004,COLQUIRI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21005,ICHOCA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21006,LICOMA PAMPA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21101,CHULUMANI (V. DE LA LIBERTAD),sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21102,IRUPANA (VILLA DE LANZA),sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21103,YANACACHI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21104,PALOS BLANCOS,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21105,LA ASUNTA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21201,PUCARANI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21202,LAJA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21203,BATALLAS,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21204,PUERTO PEREZ,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21301,SICA SICA (VILLA AROMA),sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21302,UMALA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21303,AYO AYO,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21304,CALAMARCA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21305,PATACAMAYA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21306,COLQUENCHA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21307,COLLANA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21401,COROICO,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21402,CORIPATA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21501,IXIAMAS,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21502,SAN BUENA VENTURA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21601,GRAL. J.J. PEREZ (CHARAZANI),sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21602,CURVA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21701,COPACABANA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21702,SAN PEDRO DE TIQUINA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21703,TITO YUPANQUI (PARQUIPUJIO),sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21801,SAN PEDRO DE CURAHUARA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21802,PAPEL PAMPA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21803,CHACARILLA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21901,SANTIAGO DE MACHACA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,21902,CATACORA,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,22001,CARANAVI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,22002,ALTO BENI,sospecha diagnostica,tosferina,2001,,,,,,
LA PAZ,22004,HUMANATA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30101,COCHABAMBA,sospecha diagnostica,tosferina,2001,1.0,0.0,0.0,0.0,0.0,1.0
COCHABAMBA,30201,AIQUILE,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30202,PASORAPA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30203,OMEREQUE,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30301,AYOPAYA (V. DE INDEPENDENCIA),sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30302,MOROCHATA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30303,COCAPATA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30401,TARATA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30402,ANZALDO,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30403,ARBIETO,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30404,SACABAMBA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30501,ARANI,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30502,VACAS,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30601,ARQUE,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30602,TACOPAYA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30701,CAPINOTA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30702,SANTIVAÑES,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30703,SICAYA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30801,CLIZA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30802,TOCO,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30803,TOLATA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30901,QUILLACOLLO,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30902,SIPE SIPE,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30903,TIQUIPAYA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30904,VINTO,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,30905,COLCAPIRHUA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31001,SACABA,sospecha diagnostica,tosferina,2001,1.0,0.0,1.0,0.0,0.0,2.0
COCHABAMBA,31002,COLOMI,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31003,VILLA TUNARI,sospecha diagnostica,tosferina,2001,2.0,3.0,0.0,0.0,0.0,5.0
COCHABAMBA,31101,TAPACARI,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31201,TOTORA(CBBA),sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31202,POJO (CBBA),sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31203,POCONA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31204,CHIMORE,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31205,PUERTO VILLARROEL,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31206,ENTRE RIOS CBBA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31301,MIZQUE,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31302,VILA VILA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31303,ALALAY,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31304,RAQAYPAMPA(ETA),sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31401,PUNATA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31402,VILLA RIVERO,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31403,SAN BENITO,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31404,TACACHI,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31405,CUCHUMUELA (V. G. VILLARROEL),sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31501,BOLIVAR,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31601,TIRAQUE (CBBA),sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31602,SHINAOTA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40101,ORURO,sospecha diagnostica,tosferina,2001,1.0,1.0,1.0,0.0,0.0,3.0
ORURO,40102,CARACOLLO,sospecha diagnostica,tosferina,2001,0.0,0.0,1.0,0.0,0.0,1.0
ORURO,40103,EL CHORO,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40104,SORACACHI,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40201,CHALLAPATA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40202,SANTUARIO DE QUILLACAS,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40301,CORQUE,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40302,CHOQUE COTA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40401,CURAHUARA DE CARANGAS,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40402,TURCO,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40501,HUACHACALLA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40502,ESCARA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40503,CRUZ DE MACHACAMARCA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40504,YUNGUYO DE LITORAL,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40505,ESMERALDA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40601,POOPO,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40602,PAZÑA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40603,ANTEQUERA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40701,HUANUNI,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40702,MACHACAMARCA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40801,SALINAS DE GARCI MENDOZA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40802,PAMPA AULLAGAS,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40901,SABAYA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40902,COIPASA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40903,CHIPAYA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41001,TOLEDO,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41101,EUCALIPTUS,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41201,ANDAMARCA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41202,BELEN DE ANDAMARCA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41301,TOTORA(ORR),sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41401,SANTIAGO DE HUARI,sospecha diagnostica,tosferina,2001,1.0,0.0,0.0,0.0,0.0,1.0
ORURO,41501,LA RIVERA,sospecha diagnostica,tosferina,2001,,,,,,
