departamento,codigo_municipio,municipio,DEPARTAMENTO,grupo,variable,year,menores a 1 año,de 1 a 4 años,de 5 a 14 años,de 15 a 59 años,de 60 y más años,total
CHUQUISACA,10101,SUCRE,CHUQUISACA,sospecha diagnostica,difteria,2005,0,2,0,0,0,2
CHUQUISACA,10102,YOTALA,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10201,AZURDUY,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10202,TARVITA,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10301,ZUDAÑEZ,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10302,PRESTO,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10303,MOJOCOYA,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10304,ICLA,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10401,PADILLA,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10402,TOMINA,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10403,SOPACHUY,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10404,ALCALA,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10405,EL VILLAR,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10501,MONTEAGUDO,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10502,HUACARETA,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10601,TARABUCO,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10602,YAMPARAEZ,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10701,CAMARGO,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10702,SAN LUCAS,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10703,INCAHUASI,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10704,VILLA CHARCAS,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10801,VILLA SERRANO,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA),CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10902,CULPINA,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,10903,LAS CARRERAS,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA),CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA),CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
CHUQUISACA,11003,MACHARETI,CHUQUISACA,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20101,LA PAZ,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,2,0,2
LA PAZ,20102,PALCA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20103,MECAPACA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20104,ACHOCALLA,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20105,EL ALTO,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20201,ACHACACHI,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20202,ANCORAIMES,LA PAZ,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20203,CHUA COCANI,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
LA PAZ,20204,HUARINA,,sospecha diagnostica,difteria,2005,0,0,0,0,0,0
