departamento,codigo_municipio,municipio,grupo,variable,año,hombres de 6 meses,mujeres menores a 6 meses,hombres de 6 meses a 1 año,mujeres de 6 meses a 1 año,hombres de 1 a 4 años,mujeres de 1 a 4 años,hombres de 5 a 9 años,mujeres de 5 a 9 años,hombres de 10 a 14 años,mujeres de 10 a 14 años,hombres de 15 a 19 años,mujeres de 15 a 19 años,hombres de 20 a 39 años,mujeres de 20 a 39 años,hombres de 40 a 49 años,mujeres de 40 a 49 años,hombres de 50 a 59 años,mujeres de 50 a 59 años,hombres de 60 y más años,mujeres de 60 y más años,dentro de establecimientos total,fuera de establecimientos total,total
CHUQUISACA,10101,SUCRE,otras infecciones,neumonia,2019,231,165,281,180,831,696,254,200,78,83,35,49,133,204,93,117,104,166,558,633,2598,2493,5091
CHUQUISACA,10102,YOTALA,otras infecciones,neumonia,2019,12,8,2,9,33,28,7,12,4,6,3,3,6,6,3,4,1,4,27,23,98,103,201
CHUQUISACA,10103,POROMA,otras infecciones,neumonia,2019,3,5,1,1,3,2,2,1,0,2,0,0,2,1,1,0,1,0,3,7,16,19,35
CHUQUISACA,10201,AZURDUY,otras infecciones,neumonia,2019,0,2,3,6,9,12,1,0,1,1,0,1,3,2,2,3,3,1,9,12,31,40,71
CHUQUISACA,10202,TARVITA,otras infecciones,neumonia,2019,10,6,8,5,16,22,4,7,4,1,0,2,4,4,3,7,3,10,56,45,108,109,217
CHUQUISACA,10301,ZUDAÑEZ,otras infecciones,neumonia,2019,2,1,3,3,4,11,2,2,0,0,1,0,2,3,1,1,3,0,7,10,25,31,56
CHUQUISACA,10302,PRESTO,otras infecciones,neumonia,2019,0,2,0,0,0,1,0,1,0,0,0,0,0,4,0,2,0,2,19,6,19,18,37
CHUQUISACA,10303,MOJOCOYA,otras infecciones,neumonia,2019,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,5,4,6,7,13
CHUQUISACA,10304,ICLA,otras infecciones,neumonia,2019,1,0,1,1,2,0,0,0,0,0,0,0,1,0,2,3,1,0,4,4,12,8,20
CHUQUISACA,10401,PADILLA,otras infecciones,neumonia,2019,5,6,4,6,36,21,9,6,1,1,0,5,3,5,5,7,7,9,30,29,100,95,195
