DEPARTAMENTO,codigo_municipio,municipio,mes,grupo,variable,menores a 1 año,de 1 a 4 años,de 5 a 14 años,de 15 a 59 años,de 60 y más años,total
CHUQUISACA,10101,SUCRE,2005-01-01,sospecha diagnostica,difteria,0,1,0,0,0,1
CHUQUISACA,10101,SUCRE,2005-02-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10101,SUCRE,2005-03-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10101,SUCRE,2005-04-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10101,SUCRE,2005-05-01,sospecha diagnostica,difteria,0,1,0,0,0,1
CHUQUISACA,10101,SUCRE,2005-06-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10101,SUCRE,2005-07-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10101,SUCRE,2005-08-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10101,SUCRE,2005-09-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10101,SUCRE,2005-10-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10101,SUCRE,2005-11-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10101,SUCRE,2005-12-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10102,YOTALA,2005-01-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10102,YOTALA,2005-02-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10102,YOTALA,2005-03-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10102,YOTALA,2005-04-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10102,YOTALA,2005-05-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10102,YOTALA,2005-06-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10102,YOTALA,2005-07-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10102,YOTALA,2005-08-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10102,YOTALA,2005-09-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10102,YOTALA,2005-10-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10102,YOTALA,2005-11-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10102,YOTALA,2005-12-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,2005-01-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,2005-02-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,2005-03-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,2005-04-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,2005-05-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,2005-06-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,2005-07-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,2005-08-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,2005-09-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,2005-10-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,2005-11-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10103,POROMA,2005-12-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10201,AZURDUY,2005-01-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10201,AZURDUY,2005-02-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10201,AZURDUY,2005-03-01,sospecha diagnostica,difteria,0,0,0,0,0,0
CHUQUISACA,10201,AZURDUY,2005-04-01,sospecha diagnostica,difteria,0,0,0,0,0,0
