year,filename,grvar,grupo,subvar,variable
2001,datos/2001_clasificacion-general-sistemica_enfermedades-del-ojo-y-anexos.csv,00,clasificacion general sistemica,02,enfermedades del ojo y anexos
2001,datos/2001_clasificacion-general-sistemica_enfermedades-del-sistema-cardio-circulatorio.csv,00,clasificacion general sistemica,04,enfermedades del sistema cardio circulatorio
2001,datos/2001_clasificacion-general-sistemica_enfermedades-del-sistema-respiratorio.csv,00,clasificacion general sistemica,05,enfermedades del sistema respiratorio
2001,datos/2001_sospecha-diagnostica_tosferina.csv,01,sospecha diagnostica,03,tosferina
2001,datos/2001_sospecha-diagnostica_difteria.csv,01,sospecha diagnostica,04,difteria
2001,datos/2001_sospecha-diagnostica_hantavirus.csv,02,sospecha diagnostica,14,hantavirus
2001,datos/2001_inmunoprevenibles_tosferina-3.csv,04,inmunoprevenibles,08,tosferina (3*)
2001,datos/2001_inmunoprevenibles_difteria-4.csv,04,inmunoprevenibles,09,difteria (4*)
2001,datos/2001_otras-infecciones_neumonia.csv,06,otras infecciones,03,neumonia
2001,datos/2001_otras-infecciones_sintomatico-respiratorio.csv,06,otras infecciones,06,sintomatico respiratorio
2001,datos/2001_otras-infecciones_fiebre-hemorragica-13.csv,06,otras infecciones,07,fiebre hemorragica (13*)
2001,datos/2001_otras-infecciones_enfermedad-respiratoria-hanta-14.csv,06,otras infecciones,08,enfermedad respiratoria hanta (14*)
2001,datos/2001_tuberculosis-casos-confirmados_tuberculosis-pulmonar-baar-nuevos.csv,07,tuberculosis (casos confirmados),03,tuberculosis pulmonar baar (+) nuevos
2001,datos/2001_tuberculosis-casos-confirmados_tuberculosis-pulmonar-baar.csv,07,tuberculosis (casos confirmados),04,tuberculosis pulmonar baar (-)
2001,datos/2001_tuberculosis-casos-confirmados_tuberculosis-pulmonar-baar-prevamente-tratados.csv,07,tuberculosis (casos confirmados),06,tuberculosis pulmonar baar (+) prevamente tratados
2001,datos/2001_mortalidad-en-el-establecimiento-leatalidad_muerte-menor-de-5-anos-por-neumonia.csv,09,mortalidad en el establecimiento ( leatalidad),05,muerte menor de 5 anos por neumonia
