COD_MUNICIPIO,MUNICIPIO,DEPARTAMENTO
10101,SUCRE,CHUQUISACA
10102,YOTALA,CHUQUISACA
10103,POROMA,CHUQUISACA
10201,AZURDUY,CHUQUISACA
10202,TARVITA,CHUQUISACA
10301,ZUDAÑEZ,CHUQUISACA
10302,PRESTO,CHUQUISACA
10303,MOJOCOYA,CHUQUISACA
10304,ICLA,CHUQUISACA
10401,PADILLA,CHUQUISACA
10402,TOMINA,CHUQUISACA
10403,SOPACHUY,CHUQUISACA
10404,ALCALA,CHUQUISACA
10405,EL VILLAR,CHUQUISACA
10501,MONTEAGUDO,CHUQUISACA
10502,HUACARETA,CHUQUISACA
10601,TARABUCO,CHUQUISACA
10602,YAMPARAEZ,CHUQUISACA
10701,CAMARGO,CHUQUISACA
10702,SAN LUCAS,CHUQUISACA
10703,INCAHUASI,CHUQUISACA
10704,VILLA CHARCAS,CHUQUISACA
10801,VILLA SERRANO,CHUQUISACA
10901,CAMATAQUI (C. VILLA ABECIA),CHUQUISACA
10902,CULPINA,CHUQUISACA
10903,LAS CARRERAS,CHUQUISACA
11001,VILLA VACA GUZMAN (MUYUPAMPA),CHUQUISACA
11002,HUACAYA (VILLA DE HUACAYA),CHUQUISACA
11003,MACHARETI,CHUQUISACA
20101,LA PAZ,LA PAZ
20102,PALCA,LA PAZ
20103,MECAPACA,LA PAZ
20104,ACHOCALLA,LA PAZ
20105,EL ALTO,LA PAZ
20201,ACHACACHI,LA PAZ
20202,ANCORAIMES,LA PAZ
20203,CHUA COCANI,LA PAZ
20204,HUARINA,LA PAZ
20205,SANTIAGO DE HUATA,LA PAZ
20206,HUATAJATA,LA PAZ
20301,CORO CORO,LA PAZ
20302,CAQUIAVIRI,LA PAZ
20303,CALACOTO,LA PAZ
20304,COMANCHE,LA PAZ
20305,CHARAÑA,LA PAZ
20306,WALDO BALLIVIAN,LA PAZ
20307,NAZACARA DE PACAJES,LA PAZ
20308,SANTIAGO DE CALLAPA,LA PAZ
20401,PUERTO ACOSTA,LA PAZ
20402,MOCOMOCO,LA PAZ
20403,PUERTO CARABUCO,LA PAZ
20404,HUMANATA,LA PAZ
20405,ESCOMA,LA PAZ
20501,CHUMA,LA PAZ
20502,AYATA,LA PAZ
20503,AUCAPATA,LA PAZ
20601,SORATA,LA PAZ
20602,GUANAY,LA PAZ
20603,TACACOMA,LA PAZ
20604,QUIABAYA,LA PAZ
20605,COMBAYA,LA PAZ
20606,TIPUANI,LA PAZ
20607,MAPIRI,LA PAZ
20608,TEOPONTE,LA PAZ
20701,APOLO,LA PAZ
20702,PELECHUCO,LA PAZ
20801,VIACHA,LA PAZ
20802,GUAQUI,LA PAZ
20803,TIAWANACU,LA PAZ
20804,DESAGUADERO,LA PAZ
20805,SAN ANDRES DE MACHACA,LA PAZ
20806,JESUS DE MACHACA,LA PAZ
20807,TARACO,LA PAZ
20901,LURIBAY,LA PAZ
20902,SAPAHAQUI,LA PAZ
20903,YACO,LA PAZ
20904,MALLA,LA PAZ
20905,CAIROMA,LA PAZ
21001,INQUISIVI,LA PAZ
21002,QUIME,LA PAZ
21003,CAJUATA,LA PAZ
21004,COLQUIRI,LA PAZ
21005,ICHOCA,LA PAZ
21006,LICOMA PAMPA,LA PAZ
21101,CHULUMANI (V. DE LA LIBERTAD),LA PAZ
21102,IRUPANA (VILLA DE LANZA),LA PAZ
21103,YANACACHI,LA PAZ
21104,PALOS BLANCOS,LA PAZ
21105,LA ASUNTA,LA PAZ
21201,PUCARANI,LA PAZ
21202,LAJA,LA PAZ
21203,BATALLAS,LA PAZ
21204,PUERTO PEREZ,LA PAZ
21301,SICA SICA (VILLA AROMA),LA PAZ
21302,UMALA,LA PAZ
21303,AYO AYO,LA PAZ
21304,CALAMARCA,LA PAZ
21305,PATACAMAYA,LA PAZ
21306,COLQUENCHA,LA PAZ
21307,COLLANA,LA PAZ
21401,COROICO,LA PAZ
21402,CORIPATA,LA PAZ
21501,IXIAMAS,LA PAZ
21502,SAN BUENA VENTURA,LA PAZ
21601,GRAL. J.J. PEREZ (CHARAZANI),LA PAZ
21602,CURVA,LA PAZ
21701,COPACABANA,LA PAZ
21702,SAN PEDRO DE TIQUINA,LA PAZ
21703,TITO YUPANQUI (PARQUIPUJIO),LA PAZ
21801,SAN PEDRO DE CURAHUARA,LA PAZ
21802,PAPEL PAMPA,LA PAZ
21803,CHACARILLA,LA PAZ
21901,SANTIAGO DE MACHACA,LA PAZ
21902,CATACORA,LA PAZ
22001,CARANAVI,LA PAZ
22002,ALTO BENI,LA PAZ
22004,HUMANATA,LA PAZ
30101,COCHABAMBA,COCHABAMBA
30201,AIQUILE,COCHABAMBA
30202,PASORAPA,COCHABAMBA
30203,OMEREQUE,COCHABAMBA
30301,AYOPAYA (V. DE INDEPENDENCIA),COCHABAMBA
30302,MOROCHATA,COCHABAMBA
30303,COCAPATA,COCHABAMBA
30401,TARATA,COCHABAMBA
30402,ANZALDO,COCHABAMBA
30403,ARBIETO,COCHABAMBA
30404,SACABAMBA,COCHABAMBA
30501,ARANI,COCHABAMBA
30502,VACAS,COCHABAMBA
30601,ARQUE,COCHABAMBA
30602,TACOPAYA,COCHABAMBA
30701,CAPINOTA,COCHABAMBA
30702,SANTIVAÑES,COCHABAMBA
30703,SICAYA,COCHABAMBA
30801,CLIZA,COCHABAMBA
30802,TOCO,COCHABAMBA
30803,TOLATA,COCHABAMBA
30901,QUILLACOLLO,COCHABAMBA
