year,grvar,grupo,subvar,variable
2005,01,sospecha diagnostica,03,tos ferina
2005,01,sospecha diagnostica,04,difteria
2005,02,sospecha diagnostica,09,fiebre hemorrag. bol
2005,02,sospecha diagnostica,14,enfer. por hanta virus
2005,06,otras infecciones,02,ira sin neumonia
2005,06,otras infecciones,03,neumonia
2005,06,otras infecciones,04,malaria
2005,06,otras infecciones,05,leishmaniasis
2005,07,tuberculosis y lepra,01,sintomatico respiratorio
2005,07,tuberculosis y lepra,03,tuberculosis pulmonar baar positivo nuevos
2005,07,tuberculosis y lepra,04,tuberculosis pulmonar baar negativo nuevos
2005,09,mortalidad institucional,05,muerte menor de 5 anos por neumonia
2006,01,sospecha diagnostica,03,tos ferina
2006,01,sospecha diagnostica,04,difteria
2006,02,sospecha diagnostica,09,fiebre hemorrag. bol
2006,02,sospecha diagnostica,14,enfer. por hanta virus
2006,06,otras infecciones,02,ira sin neumonia
2006,06,otras infecciones,03,neumonia
2006,06,otras infecciones,04,malaria
2006,06,otras infecciones,05,leishmaniasis
2006,07,tuberculosis y lepra,01,sintomatico respiratorio
2006,07,tuberculosis y lepra,03,tuberculosis pulmonar baar positivo nuevos
2006,07,tuberculosis y lepra,04,tuberculosis pulmonar baar negativo nuevos
2006,09,mortalidad institucional,05,muerte menor de 5 anos por neumonia
2007,01,sospecha diagnostica,03,tos ferina
2007,01,sospecha diagnostica,04,difteria
2007,02,sospecha diagnostica,09,fiebre hemorrag. bol
2007,02,sospecha diagnostica,14,enfer. por hanta virus
2007,06,otras infecciones,02,ira sin neumonia
2007,06,otras infecciones,03,neumonia
2007,06,otras infecciones,04,malaria
2007,06,otras infecciones,05,leishmaniasis
2007,07,tuberculosis y lepra,01,sintomatico respiratorio
2007,07,tuberculosis y lepra,03,tuberculosis pulmonar baar positivo nuevos
2007,07,tuberculosis y lepra,04,tuberculosis pulmonar baar negativo nuevos
2007,09,mortalidad institucional,05,muerte menor de 5 anos por neumonia
2008,01,sospecha diagnostica,03,tos ferina
2008,01,sospecha diagnostica,04,difteria
2008,02,sospecha diagnostica,09,fiebre hemorrag. bol
2008,02,sospecha diagnostica,14,enfer. por hanta virus
2008,02,sospecha diagnostica,17,influenza aviar - pandemica
2008,06,otras infecciones,02,ira sin neumonia
2008,06,otras infecciones,03,neumonia
2008,06,otras infecciones,04,malaria
2008,06,otras infecciones,05,leishmaniasis
2008,09,mortalidad institucional,05,muerte menor de 5 anos por neumonia
2009,01,sospecha diagnostica,03,tos ferina
2009,01,sospecha diagnostica,04,difteria
2009,02,sospecha diagnostica,09,fiebre hemorrag. bol
2009,02,sospecha diagnostica,14,enfer. por hanta virus
2009,02,sospecha diagnostica,17,influenza aviar - pandemica
2009,06,otras infecciones,02,ira sin neumonia
2009,06,otras infecciones,03,neumonia
2009,06,otras infecciones,04,malaria
2009,06,otras infecciones,05,leishmaniasis
2009,09,mortalidad institucional,05,muerte menor de 5 anos por neumonia
2010,01,sospecha diagnostica,03,tos ferina
2010,01,sospecha diagnostica,04,difteria
2010,01,sospecha diagnostica,09,fiebre hemorragica boliviana
2010,02,sospecha diagnostica,14,enfermedad por hanta virus
2010,02,sospecha diagnostica,17,influenza - pandemica
2010,06,otras infecciones,02,ira sin neumonia
2010,06,otras infecciones,03,neumonia
